year_month,revenue,period,time_index,predicted_revenue
2011-01,98902,2011-01-01,0,142945.5910931174
2011-02,91152,2011-02-01,1,147692.4567239304
2011-03,145726,2011-03-01,2,152439.3223547434
2011-04,116927,2011-04-01,3,157186.1879855564
2011-05,146762,2011-05-01,4,161933.0536163694
2011-06,215214,2011-06-01,5,166679.9192471824
2011-07,115518,2011-07-01,6,171426.7848779954
2011-08,207570,2011-08-01,7,176173.65050880838
2011-09,290230,2011-09-01,8,180920.51613962138
2011-10,199070,2011-10-01,9,185667.38177043438
2011-11,298499,2011-11-01,10,190414.24740124738
2011-12,333941,2011-12-01,11,195161.11303206038
2012-01,135775,2012-01-01,12,199907.9786628734
2012-02,100521,2012-02-01,13,204654.8442936864
2012-03,163092,2012-03-01,14,209401.7099244994
2012-04,161060,2012-04-01,15,214148.5755553124
2012-05,208370,2012-05-01,16,218895.4411861254
2012-06,256181,2012-06-01,17,223642.3068169384
2012-07,145247,2012-07-01,18,228389.1724477514
2012-08,303158,2012-08-01,19,233136.0380785644
2012-09,289390,2012-09-01,20,237882.9037093774
2012-10,252942,2012-10-01,21,242629.7693401904
2012-11,323512,2012-11-01,22,247376.6349710034
2012-12,338245,2012-12-01,23,252123.5006018164
2013-01,199197,2013-01-01,24,256870.3662326294
2013-02,167247,2013-02-01,25,261617.2318634424
2013-03,198591,2013-03-01,26,266364.0974942554
2013-04,177835,2013-04-01,27,271110.9631250684
2013-05,260525,2013-05-01,28,275857.8287558814
2013-06,396513,2013-06-01,29,280604.69438669435
2013-07,229940,2013-07-01,30,285351.5600175074
2013-08,326491,2013-08-01,31,290098.42564832035
2013-09,376626,2013-09-01,32,294845.2912791334
2013-10,293423,2013-10-01,33,299592.15690994635
2013-11,373996,2013-11-01,34,304339.0225407594
2013-12,405476,2013-12-01,35,309085.88817157235
2014-01,241267,2014-01-01,36,313832.7538023854
2014-02,184848,2014-02-01,37,318579.61943319836
2014-03,263110,2014-03-01,38,323326.4850640114
2014-04,242781,2014-04-01,39,328073.35069482436
2014-05,288404,2014-05-01,40,332820.2163256374
2014-06,401843,2014-06-01,41,337567.08195645036
2014-07,258718,2014-07-01,42,342313.94758726336
2014-08,456633,2014-08-01,43,347060.81321807636
2014-09,481186,2014-09-01,44,351807.67884888937
2014-10,422785,2014-10-01,45,356554.54447970237
2014-11,555312,2014-11-01,46,361301.41011051537
2014-12,503154,2014-12-01,47,366048.27574132837
