customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,segment
AA-103151,9,5,1445,4,2,2,Recent
AA-103152,14,7,6105,4,3,4,High-value
AA-103153,695,2,633,1,1,1,At-risk
AA-103154,185,5,5565,2,2,4,Loyal
AA-103751,7,4,2407,4,2,3,Recent
AA-103752,318,3,560,1,1,1,At-risk
AA-103753,35,7,1861,4,3,2,Loyal
AA-103754,20,9,1056,4,4,2,High-value
AA-104801,126,5,5946,2,2,4,Loyal
AA-104802,230,7,5253,2,3,4,Loyal
AA-104803,237,4,4704,2,2,4,Loyal
AA-104804,260,4,1792,2,2,2,At-risk
AA-106451,29,12,5264,4,4,4,High-value
AA-106452,234,9,2730,2,4,3,Loyal
AA-106453,56,9,2263,3,4,3,High-value
AA-106454,56,6,5087,3,3,4,High-value
AA-3151,154,1,11,2,1,1,At-risk
AA-3152,3,6,2234,4,3,3,High-value
AA-3751,300,4,365,1,2,1,At-risk
AA-3752,826,1,27,1,1,1,At-risk
AA-3753,254,3,261,2,1,1,At-risk
AA-4801,876,2,496,1,1,1,At-risk
AA-4802,938,1,1085,1,1,2,At-risk
AA-4803,315,2,482,1,1,1,At-risk
AA-6451,61,8,1503,3,4,2,Loyal
AA-6452,52,3,465,3,1,1,Recent
AB-100151,114,9,10662,2,4,4,High-value
AB-100152,253,12,6116,2,4,4,High-value
AB-100153,17,8,2375,4,4,3,High-value
AB-100154,416,3,887,1,1,2,At-risk
AB-100601,82,9,2107,3,4,3,High-value
AB-100602,227,5,3345,2,2,3,Loyal
AB-100603,43,10,5210,3,4,4,High-value
AB-100604,55,8,7757,3,4,4,High-value
AB-101051,217,7,4309,2,3,4,Loyal
AB-101052,28,6,2949,4,3,3,High-value
AB-101053,33,10,1234,4,4,2,High-value
AB-101054,42,10,14476,3,4,4,High-value
AB-101501,111,4,429,2,2,1,At-risk
AB-101502,104,6,9139,3,3,4,High-value
AB-101503,36,9,2523,4,4,3,High-value
AB-101504,42,5,969,3,2,2,Recent
AB-101651,390,5,3435,1,2,3,At-risk
AB-101652,14,11,6437,4,4,4,High-value
AB-101653,61,5,668,3,2,1,Recent
AB-101654,26,8,1114,4,4,2,High-value
AB-102551,191,7,4277,2,3,4,Loyal
AB-102552,257,6,949,2,3,2,Loyal
AB-102553,6,9,4644,4,4,4,High-value
AB-102554,167,9,914,2,4,2,Loyal
AB-1051,403,2,97,1,1,1,At-risk
AB-1052,231,1,64,2,1,1,At-risk
AB-1053,44,4,1996,3,2,3,Recent
AB-106001,241,9,7148,2,4,4,High-value
AB-106002,338,6,4276,1,3,4,Loyal
AB-106003,85,3,377,3,1,1,Recent
AB-106004,51,4,1515,3,2,2,Recent
AB-1501,399,4,3145,1,2,3,At-risk
AB-151,413,2,2125,1,1,3,At-risk
AB-152,504,3,2481,1,1,3,At-risk
AB-1651,31,1,160,4,1,1,Recent
AB-1652,710,1,411,1,1,1,At-risk
AB-1653,17,4,828,4,2,2,Recent
AB-2551,175,5,4083,2,2,4,Loyal
AB-2552,44,1,283,3,1,1,Recent
AB-2553,121,2,313,2,1,1,At-risk
AB-6001,8,3,1384,4,1,2,Recent
AB-6002,876,2,4027,1,1,4,At-risk
AB-601,36,3,1483,4,1,2,Recent
AB-602,134,6,287,2,3,1,At-risk
AC-104201,220,5,4086,2,2,4,Loyal
AC-104202,463,7,1033,1,3,2,At-risk
AC-104203,7,9,4561,4,4,4,High-value
AC-104204,233,3,926,2,1,2,At-risk
AC-104501,9,5,7610,4,2,4,High-value
AC-104502,6,4,2295,4,2,3,Recent
AC-104503,197,3,694,2,1,1,At-risk
AC-104504,12,7,5529,4,3,4,High-value
AC-106151,13,11,5753,4,4,4,High-value
AC-106152,41,5,2738,4,2,3,Recent
AC-106153,37,8,1699,4,4,2,High-value
AC-106154,7,5,2538,4,2,3,Recent
AC-106601,64,4,1175,3,2,2,Recent
AC-106602,152,6,2234,2,3,3,Loyal
AC-106603,3,6,2189,4,3,3,High-value
AC-106604,283,5,658,1,2,1,At-risk
AC-4201,14,6,841,4,3,2,Loyal
AC-4202,387,3,849,1,1,2,At-risk
AC-4501,337,3,670,1,1,1,At-risk
AC-4502,920,2,147,1,1,1,At-risk
AC-4503,182,2,210,2,1,1,At-risk
AC-6151,510,3,1706,1,1,2,At-risk
AC-6152,93,4,593,3,2,1,Recent
AC-6601,120,3,2666,2,1,3,At-risk
AC-6602,413,1,10,1,1,1,At-risk
AD-101801,93,8,9209,3,4,4,High-value
AD-101802,377,5,1001,1,2,2,At-risk
AD-101803,332,6,1541,1,3,2,At-risk
AD-101804,30,8,6106,4,4,4,High-value
AD-1801,197,1,12,2,1,1,At-risk
AD-1802,6,2,669,4,1,1,Recent
AF-108701,7,14,10793,4,4,4,High-value
AF-108702,106,6,7808,3,3,4,High-value
AF-108703,427,9,5832,1,4,4,Loyal
AF-108704,42,7,2052,3,3,3,Loyal
AF-108851,77,10,8347,3,4,4,High-value
AF-108852,163,13,5880,2,4,4,High-value
AF-108853,54,8,4621,3,4,4,High-value
AF-108854,416,4,862,1,2,2,At-risk
AF-8701,13,4,672,4,2,1,Recent
AF-8702,766,1,125,1,1,1,At-risk
AF-8703,6,4,901,4,2,2,Recent
AF-8851,204,1,139,2,1,1,At-risk
AF-8852,168,1,215,2,1,1,At-risk
AG-102701,66,7,4771,3,3,4,High-value
AG-102702,197,4,1663,2,2,2,At-risk
AG-102703,41,9,1622,4,4,2,High-value
AG-102704,279,5,2584,1,2,3,At-risk
AG-103001,28,5,3212,4,2,3,Recent
AG-103002,73,7,6071,3,3,4,High-value
AG-103003,3,8,3364,4,4,3,High-value
AG-103004,119,4,367,2,2,1,At-risk
AG-103301,173,5,4208,2,2,4,Loyal
AG-103302,150,9,3590,2,4,3,Loyal
AG-103303,183,10,6078,2,4,4,High-value
AG-103304,9,5,662,4,2,1,Recent
AG-103901,241,2,2228,2,1,3,At-risk
AG-103902,414,4,2646,1,2,3,At-risk
AG-103903,190,8,3380,2,4,3,Loyal
AG-103904,115,5,201,2,2,1,At-risk
AG-104951,168,6,3451,2,3,3,Loyal
AG-104952,129,11,7461,2,4,4,High-value
AG-104953,201,4,2110,2,2,3,Loyal
AG-104954,79,8,2356,3,4,3,High-value
AG-105251,135,3,324,2,1,1,At-risk
AG-105252,38,8,4071,4,4,4,High-value
AG-105253,13,5,2620,4,2,3,Recent
AG-105254,846,4,1455,1,2,2,At-risk
AG-106751,770,3,3644,1,1,3,At-risk
AG-106752,48,7,2284,3,3,3,Loyal
AG-106753,401,4,3606,1,2,3,At-risk
AG-106754,98,7,3489,3,3,3,Loyal
AG-107651,377,4,1586,1,2,2,At-risk
AG-107652,93,6,2159,3,3,3,Loyal
AG-107653,29,13,5913,4,4,4,High-value
AG-107654,78,4,170,3,2,1,Recent
AG-109001,118,8,5035,2,4,4,High-value
AG-109002,373,8,3108,1,4,3,Loyal
AG-109003,58,3,5519,3,1,4,Recent
AG-109004,97,10,4511,3,4,4,High-value
AG-2701,164,5,1997,2,2,3,Loyal
AG-2702,520,1,296,1,1,1,At-risk
AG-2703,14,2,486,4,1,1,Recent
AG-3001,146,2,866,2,1,2,At-risk
AG-3002,99,4,835,3,2,2,Recent
AG-3301,3,6,513,4,3,1,Loyal
AG-3302,15,1,20,4,1,1,Recent
AG-3901,1121,2,414,1,1,1,At-risk
AG-3902,113,2,59,2,1,1,At-risk
AG-4951,206,3,469,2,1,1,At-risk
AG-4952,49,2,52,3,1,1,Recent
AG-4953,70,6,482,3,3,1,Loyal
AG-5251,16,6,802,4,3,2,Loyal
AG-5252,729,1,2067,1,1,3,At-risk
AG-6751,174,6,774,2,3,2,Loyal
AG-6752,271,4,1595,1,2,2,At-risk
AG-7651,580,4,769,1,2,2,At-risk
AG-7652,115,4,1090,2,2,2,At-risk
AG-9001,24,4,1698,4,2,2,Recent
AH-100301,411,6,4154,1,3,4,Loyal
AH-100302,29,8,3973,4,4,4,High-value
AH-100303,159,6,4568,2,3,4,Loyal
AH-100304,13,7,1744,4,3,2,Loyal
AH-100751,3,9,7291,4,4,4,High-value
AH-100752,31,9,4526,4,4,4,High-value
AH-100753,231,6,3044,2,3,3,Loyal
AH-100754,35,10,3251,4,4,3,High-value
AH-101201,472,3,558,1,1,1,At-risk
AH-101202,114,6,3590,2,3,3,Loyal
AH-101203,307,6,4044,1,3,4,Loyal
AH-101204,61,7,1736,3,3,2,Loyal
AH-101951,50,6,3839,3,3,4,High-value
AH-101952,93,9,1833,3,4,2,Loyal
AH-101953,52,6,5370,3,3,4,High-value
AH-101954,56,4,1588,3,2,2,Recent
AH-102101,471,2,1111,1,1,2,At-risk
AH-102102,103,11,7417,3,4,4,High-value
AH-102103,8,12,7031,4,4,4,High-value
AH-102104,7,9,4805,4,4,4,High-value
AH-104651,87,6,2183,3,3,3,Loyal
AH-104652,481,2,251,1,1,1,At-risk
AH-104653,71,7,3621,3,3,3,Loyal
AH-104654,231,5,2495,2,2,3,Loyal
AH-105851,188,9,6205,2,4,4,High-value
AH-105852,184,5,1615,2,2,2,At-risk
AH-105853,399,4,567,1,2,1,At-risk
AH-105854,22,4,738,4,2,2,Recent
AH-106901,146,6,4163,2,3,4,Loyal
AH-106902,31,9,3514,4,4,3,High-value
AH-106903,380,4,710,1,2,1,At-risk
AH-106904,411,12,7889,1,4,4,Loyal
AH-1201,600,3,1476,1,1,2,At-risk
AH-1202,22,1,2,4,1,1,Recent
AH-1951,1052,2,80,1,1,1,At-risk
AH-1952,1241,1,88,1,1,1,At-risk
AH-1953,279,6,2483,1,3,3,Loyal
AH-2101,881,2,3090,1,1,3,At-risk
AH-2102,458,2,187,1,1,1,At-risk
AH-301,469,4,5072,1,2,4,Loyal
AH-302,577,3,1248,1,1,2,At-risk
AH-4651,242,2,540,2,1,1,At-risk
AH-4652,799,2,112,1,1,1,At-risk
AH-5851,219,2,889,2,1,2,At-risk
AH-5852,76,7,1343,3,3,2,Loyal
AH-6901,59,3,948,3,1,2,Recent
AH-6902,601,2,869,1,1,2,At-risk
AH-751,38,6,3426,4,3,3,High-value
AH-752,269,1,137,1,1,1,At-risk
AH-753,567,1,45,1,1,1,At-risk
AI-108551,309,4,1859,1,2,2,At-risk
AI-108552,86,7,2105,3,3,3,Loyal
AI-108553,209,1,20,2,1,1,At-risk
AI-108554,14,10,4376,4,4,4,High-value
AI-8551,561,1,30,1,1,1,At-risk
AI-8552,204,3,891,2,1,2,At-risk
AJ-107801,125,5,5821,2,2,4,Loyal
AJ-107802,49,7,3898,3,3,4,High-value
AJ-107803,62,6,601,3,3,1,Loyal
AJ-107804,76,7,4868,3,3,4,High-value
AJ-107951,63,6,1209,3,3,2,Loyal
AJ-107952,154,6,2249,2,3,3,Loyal
AJ-107953,190,3,930,2,1,2,At-risk
AJ-107954,167,7,4501,2,3,4,Loyal
AJ-109451,92,9,2329,3,4,3,High-value
AJ-109452,416,7,3402,1,3,3,Loyal
AJ-109453,29,6,3517,4,3,3,High-value
AJ-109454,86,7,1839,3,3,2,Loyal
AJ-109601,49,4,1709,3,2,2,Recent
AJ-109602,208,6,4502,2,3,4,Loyal
AJ-109603,52,4,1792,3,2,2,Recent
AJ-109604,75,3,629,3,1,1,Recent
AJ-7801,212,7,1608,2,3,2,Loyal
AJ-7802,574,1,19,1,1,1,At-risk
AJ-7803,2,4,942,4,2,2,Recent
AJ-7951,37,5,1276,4,2,2,Recent
AJ-7952,122,5,2119,2,2,3,Loyal
AJ-9451,105,5,3817,3,2,4,Recent
AJ-9452,341,2,1045,1,1,2,At-risk
AJ-9601,412,6,4071,1,3,4,Loyal
AJ-9602,295,4,556,1,2,1,At-risk
AM-103601,16,8,3217,4,4,3,High-value
AM-103602,22,11,8940,4,4,4,High-value
AM-103603,97,9,3759,3,4,3,High-value
AM-103604,29,5,813,4,2,2,Recent
AM-107051,323,10,11719,1,4,4,Loyal
AM-107052,26,7,6094,4,3,4,High-value
AM-107053,139,5,742,2,2,2,At-risk
AM-107054,163,8,5665,2,4,4,High-value
AM-3601,191,4,435,2,2,1,At-risk
AM-3602,176,2,1601,2,1,2,At-risk
AM-7051,137,4,867,2,2,2,At-risk
AM-7052,378,1,24,1,1,1,At-risk
AM-7053,892,1,411,1,1,1,At-risk
AO-108101,37,12,7085,4,4,4,High-value
AO-108102,189,10,5657,2,4,4,High-value
AO-108103,122,4,1636,2,2,2,At-risk
AO-108104,502,1,161,1,1,1,At-risk
AO-8101,8,1,24,4,1,1,Recent
AO-8102,342,1,386,1,1,1,At-risk
AO-8103,126,3,76,2,1,1,At-risk
AP-107201,45,7,9040,3,3,4,High-value
AP-107202,47,2,1763,3,1,2,Recent
AP-107203,180,3,2919,2,1,3,At-risk
AP-107204,42,8,1639,3,4,2,Loyal
AP-109151,77,9,9049,3,4,4,High-value
AP-109152,132,6,1435,2,3,2,Loyal
AP-109153,318,7,2070,1,3,3,Loyal
AP-109154,99,10,3324,3,4,3,High-value
AP-7201,38,4,423,4,2,1,Recent
